study_title,year,population,sample_size,sepsis_type,biomarker,outcome,main_finding,statistical_method,odds_ratio,auc,p_value,source_quote,chunk_id,quote_found_in_source,schema_valid
Comparison of Pediatric Sequential Organ Failure Assessment and Pediatric Risk of Mortality III Score as Mortality Prediction in Pediatric Intensive Care Unit,2022,critically ill children aged one month to 15 years,286,not reported,not reported,mortality within 30 days of PICU admission,The p-SOFA and PRISM scores were significantly greater in children who did not survive than survivors.,Data were analyzed using Statistical Package for the Social Sciences (SPSS) version 23.,not reported,not reported,not reported,The 30-day mortality was estimated as 57%. The p-SOFA and PRISM scores were significantly greater in children who did not survive than survivors.,chunk_0,True,True
not reported,not reported,critically ill children,not reported,not reported,pediatric sequential organ failure assessment (p-SOFA),30-day mortality,The p-SOFA score is a good predictor for 30-day mortality in critically ill children and had better accuracy than the PRISM III 24 score.,not reported,not reported,0.81,0.001,The p-SOFA score is a good predictor for 30-day mortality in critically ill children and had better accuracy than the PRISM III 24 score.,chunk_1,True,True
not reported,not reported,critically ill children,not reported,not reported,PRISM III 24 score,30-day mortality,The PRISM III 24 score had good discrimination for 30-day mortality.,not reported,not reported,0.75,0.001,"PRISM III 24 score (AUC=0.75, 95% CI=0.69-0.81, p=0.001) had good discrimination for 30-day mortality.",chunk_1,True,True
not reported,not reported,critically ill children,not reported,not reported,p-SOFA,30-day mortality,"At the cut-off value of p-SOFA>2, the sensitivity was 93.87%, specificity was 38.21%, and accuracy was 69.93%.",not reported,not reported,not reported,not reported,"For the prediction of 30-day mortality at the cut-off value of p-SOFA>2, the sensitivity was 93.87%, specificity was 38.21%, and accuracy was 69.93%.",chunk_1,True,True
not reported,not reported,critically ill children,not reported,not reported,PRISM III 24 score,30-day mortality,"At the cut-off value of PRISM III 24 score>8, the sensitivity was 55.83%, specificity was 77.24%, and accuracy was 65.03%.",not reported,not reported,not reported,not reported,"Whereas at the cut-off value of PRISM III 24 score>8, the sensitivity was 55.83%, specificity was 77.24%, and accuracy was 65.03%.",chunk_1,False,True
Comparison of Pediatric Sequential Organ Failure Assessment and Pediatric Risk of Mortality III Score as Mortality Prediction in Pediatric Intensive Care Unit,2022,critically ill children,not reported,not reported,not reported,mortality,The aim of our study was to assess and compare the diagnostic accuracy of the PRISM III and the p-SOFA for the prediction of mortality in critically ill children.,cross-validation research,not reported,not reported,not reported,"Therefore, the aim of our study was to assess and compare the diagnostic accuracy of the PRISM III and the p-SOFA for the prediction of mortality in critically ill children.",chunk_2,True,True
not reported,not reported,critically ill children aged one month to 15 years of either gender,286,not reported,"p-SOFA score, PRISM III score",30-day mortality,p-SOFA score of higher than 2 and PRISM III score of higher than 8 are predictors of mortality,"Mann-Whitney U test, chi-square test",not reported,not reported,not reported,p-SOFA score of higher than 2 is considered as a predictor of mortality. A score of higher than 8 on the PRISM III 24 was deemed a predictor of mortality.,chunk_3,False,True
Cureus,2022,children,286,not reported,"p-SOFA score, PRISM III 24 score",30-day mortality,children who did not survive had a significantly higher p-SOFA score than survivors (8 [range: 1-20] vs 4 [range: 0-14]; p=0.0001),"Pearson’s chi-square test, Spearmen’s correlation",not reported,not reported,0.0001,We found that children who did not survive had a significantly higher p-SOFA score than survivors (8 [range: 1-20] vs 4 [range: 0-14]; p=0.0001; Table 1).,chunk_4,True,True
Cureus,2022,children,not reported,not reported,p-SOFA,30-day mortality,The frequency of death increased substantially with the p-SOFA score.,not reported,not reported,0.81 (0.76-0.86),0.0001,We found that PRISM III 24 score was significantly greater in children who did not survive than survivors (10 [range: 0-29] vs 3 [range: 0-20]; p=0.0001; Table 1).,chunk_5,True,True
Cureus,2022,children,not reported,not reported,PRISM III 24,30-day mortality,Frequency of mortality increased significantly with the PRISM III 24 score.,not reported,not reported,0.75 (0.69-0.81),0.0001,"With an area under the curve (AUC) of 0.81 (0.76-0.86) and a p-value of 0.0001, the maximal p-SOFA exhibited good discrimination for 30-day mortality.",chunk_5,False,True
Cureus 14(1): e21055,2022,Pediatric Intensive Care Unit patients,286,not reported,p-SOFA score,30-day mortality,"The p-SOFA score was positively associated with the PRISM III 24 score (r=0.712, p=0.001).",Chi-square test,not reported,not reported,0.001,"For the prediction of 30-day mortality at the cut-off value of p-SOFA>2, the sensitivity was 93.87%, specificity was 38.21%, PPV was 66.81%, NPV was 82.46%, and accuracy was 69.93%.",chunk_6,False,True
